Distance_m,Profile_mm
0.204,-7.78946264898388
0.205,-7.30522494798376
0.206,-7.05327920271854
0.207,-7.01639325098422
0.208,-7.61193174999928
0.209,-8.69993383758032
0.21,-9.24810096920506
0.211,-8.98098935677018
0.212,-8.68285068760788
0.213,-8.72454318344133
0.214,-8.86801092103198
0.215,-8.99796973505323
0.216,-9.08061150952855
0.217,-9.06031264783072
0.218,-8.89953264847065
0.219,-8.77480838013515
0.22,-8.90522900598785
0.221,-9.13416740799928
0.222,-9.33158583003467
0.223,-9.34722623224854
0.224,-9.22861655450663
0.225,-9.35294611042207
0.226,-9.55845519682897
0.227,-9.62203011290327
0.228,-9.44963078628209
0.229,-8.85731361421561
0.23,-8.19345049671755
0.231,-7.85828441995345
0.232,-7.97813734175515
0.233,-8.38914144878979
0.234,-8.74052042166804
0.235,-8.95941231150349
0.236,-9.01836247773525
0.237,-8.95065984243061
0.238,-8.750069969717
0.239,-8.45385189870295
0.24,-8.26441794992243
0.241,-8.22348900336739
0.242,-8.31933203284964
0.243,-8.37594695743163
0.244,-8.46938545353928
0.245,-8.71812023566827
0.246,-8.82997480105788
0.247,-8.76229495419259
0.248,-8.55059513748577
0.249,-8.3463431116772
0.25,-8.21432233309006
0.251,-8.07953619009196
0.252,-8.03019191294453
0.253,-7.99693757391775
0.254,-8.05072973746682
0.255,-8.02124961959877
0.256,-7.85006776519326
0.257,-7.83381563854446
0.258,-7.86151978837241
0.259,-8.00637328904307
0.26,-8.21073905571348
0.261,-8.38157127073917
0.262,-8.76800737945148
0.263,-9.03105648414426
0.264,-8.87877852450305
0.265,-8.36533383351808
0.266,-7.75612539196039
0.267,-7.41524484329953
0.268,-7.19761230436735
0.269,-7.16203420909211
0.27,-7.18923596493518
0.271,-7.12143464481163
0.272,-7.28976235437066
0.273,-7.65845663596147
0.274,-8.15211806364588
0.275,-8.45678763374565
0.276,-8.60476912016066
0.277,-8.97602842886475
0.278,-9.25713332747904
0.279,-9.40257797710668
0.28,-9.24669004764766
0.281,-8.84084976667215
0.282,-8.71050633558759
0.283,-8.66051232962437
0.284,-8.67836542880247
0.285,-8.72785767201047
0.286,-8.40719445192008
0.287,-7.7169771325065
0.288,-7.04073923923462
0.289,-6.88646086558783
0.29,-7.11554299031929
0.291,-7.27707756630421
0.292,-7.3491309197749
0.293,-7.52822632584473
0.294,-7.82319021399005
0.295,-7.96123520237636
0.296,-8.08800485353018
0.297,-8.3861804756443
0.298,-8.57829122456869
0.299,-8.58521904973579
0.3,-8.57615000601772
0.301,-8.70520132495664
0.302,-8.89153953885222
0.303,-8.92298639083426
0.304,-8.78033340738179
0.305,-8.50136407734759
0.306,-8.17583483456084
0.307,-7.96141488428466
0.308,-7.87477097046557
0.309,-7.8289229936385
0.31,-8.0073305313206
0.311,-8.4987904597685
0.312,-8.87977141099748
0.313,-8.93722108202869
0.314,-8.77922936929613
0.315,-8.72854482481159
0.316,-8.99923490858008
0.317,-9.28972342139454
0.318,-9.49048677615654
0.319,-9.49204664803678
0.32,-9.05207432950711
0.321,-8.52459437928749
0.322,-8.28501365124067
0.323,-8.20736127687633
0.324,-8.26501716253686
0.325,-8.48263929073292
0.326,-8.72970493488452
0.327,-8.73791890909537
0.328,-8.42791482317287
0.329,-8.3988291324406
0.33,-8.82698019068845
0.331,-9.17784977953001
0.332,-9.17613027444423
0.333,-8.94403730051953
0.334,-8.74277896160163
0.335,-8.60885942399701
0.336,-8.64189072083198
0.337,-8.90638142764974
0.338,-9.26082559143011
0.339,-9.39882798167182
0.34,-9.09559066894339
0.341,-8.84235285356451
0.342,-8.68557550749883
0.343,-8.38214867616903
0.344,-8.26821266156652
0.345,-8.41851052952934
0.346,-8.66158029165414
0.347,-8.59054135770528
0.348,-8.23467769621069
0.349,-8.16136296501795
0.35,-8.36088857221152
0.351,-8.6007820563616
0.352,-8.72250185853285
0.353,-8.73016286062471
0.354,-8.72124617032988
0.355,-8.54553049646908
0.356,-8.38722740821163
0.357,-8.45334113777
0.358,-8.59655954104264
0.359,-8.77030258269033
0.36,-8.76321764429005
0.361,-8.55240550739232
0.362,-8.25474728065035
0.363,-7.81612409796136
0.364,-7.58920032882796
0.365,-7.72629051354547
0.366,-8.06112567942757
0.367,-8.38691021012367
0.368,-8.52736669214112
0.369,-8.82419148442532
0.37,-9.26028391965851
0.371,-9.42603893523536
0.372,-9.26186447385198
0.373,-8.9685460241161
0.374,-8.95561431551863
0.375,-9.11589995309351
0.376,-8.92906460401186
0.377,-8.41594489659879
0.378,-8.14069980057402
0.379,-8.38447008097496
0.38,-8.66050457618097
0.381,-8.68512436859094
0.382,-8.58945569855978
0.383,-8.46922697968497
0.384,-8.47181680319004
0.385,-8.52423132086346
0.386,-8.5996663876968
0.387,-8.7004058307354
0.388,-8.66340230227704
0.389,-8.54845968257139
0.39,-8.49824127553255
0.391,-8.56351405006377
0.392,-8.54118622094888
0.393,-8.43966840715838
0.394,-8.51538070215303
0.395,-8.4436691856793
0.396,-8.16544895042496
0.397,-7.94262350172112
0.398,-8.09056794258772
0.399,-8.85226704355868
0.4,-9.47646003466315
0.401,-9.55379014627595
0.402,-9.44768666970905
0.403,-9.46549017361349
0.404,-9.59782966657954
0.405,-9.49047732583965
0.406,-9.42208986129567
0.407,-9.51224414928239
0.408,-9.45181087174518
0.409,-9.35523952434174
0.41,-9.10484568996086
0.411,-8.74624384003392
0.412,-8.61399211248951
0.413,-8.8042138820014
0.414,-9.16543040635068
0.415,-9.22038573692681
0.416,-8.92485420468698
0.417,-8.74323915947162
0.418,-8.85246656455606
0.419,-9.18766673124516
0.42,-9.44281892877366
0.421,-9.42885453253137
0.422,-9.3880853487043
0.423,-9.2253228578867
0.424,-8.97740576812416
0.425,-8.87520897445154
0.426,-8.83098791847452
0.427,-8.88860736389556
0.428,-8.86840072361503
0.429,-8.6910336245489
0.43,-8.39118330225442
0.431,-7.99064632353137
0.432,-7.89110330210384
0.433,-8.27186579892516
0.434,-8.97667421160732
0.435,-9.46008083626595
0.436,-9.42403242390522
0.437,-9.28075171022902
0.438,-9.32724668062851
0.439,-9.62072600957731
0.44,-9.95234669294288
0.441,-10.0980372475045
0.442,-10.1774406701655
0.443,-10.1406762070749
0.444,-9.84161120056931
0.445,-9.4265207865294
0.446,-9.2157496628541
0.447,-9.38153739943408
0.448,-9.43157504639691
0.449,-8.9740545726819
0.45,-8.44916220207066
0.451,-8.22637506900899
0.452,-8.27431170221205
0.453,-8.35344713914712
0.454,-8.30801422742948
